recordType,metricKind,timestamp,gitSHA,gitState,run,requestedScene,harnessScene,resolutionLabel,widthPx,heightPx,kernel,variant,fractal,iterations,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,frames,warmup,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,stepsAvg,cpuEncodeMsAvg,notes
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,MengerSphere,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,TheliPseudoKleinian,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,Kleinian,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,Mandelbox,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,Mandelbulb,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,Menger,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,MandelbulbJulia,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,QuaternionJulia,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,Octahedron,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,MengerSphere,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,TheliPseudoKleinian,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,2,,,,,,coneCoarsePrepass8x8,default,Kleinian,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Mandelbox,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Mandelbulb,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Menger,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,MandelbulbJulia,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,QuaternionJulia,6,448,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Octahedron,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,MengerSphere,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,TheliPseudoKleinian,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Kleinian,6,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Mandelbox,6,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
